2020-03-31 21:08:25.587708
gemnr;gemeente;aantal;bevaant;aantal per 100.000 inwoners
629;wassenaar;2;26214;7.6
852;waterland;8;17422;45.9
988;weert;27;50107;53.9
457;weesp;2;19729;10.1
1960;west betuwe;12;51198;23.4
668;west maas en waal;9;19320;46.6
1969;westerkwartier;9;63375;14.2
1701;westerveld;1;19460;5.1
293;westervoort;2;14973;13.4
1950;westerwolde;4;25796;15.5
1783;westland;25;110357;22.7
98;weststellingwerf;2;25916;7.7
614;westvoorne;4;14728;27.2
189;wierden;2;24440;8.2
296;wijchen;27;41124;65.7
1696;wijdemeren;3;24360;12.3
352;wijk bij duurstede;5;23910;20.9
294;winterswijk;1;28865;3.5
873;woensdrecht;4;21883;18.3
632;woerden;22;52294;42.1
880;wormerland;8;16299;49.1
351;woudenberg;2;13362;15
479;zaanstad;32;156711;20.4
297;zaltbommel;8;28901;27.7
473;zandvoort;4;17116;23.4
50;zeewolde;3;22656;13.2
355;zeist;12;64932;18.5
299;zevenaar;16;43740;36.6
637;zoetermeer;21;125283;16.8
638;zoeterwoude;2;8611;23.2
1892;zuidplas;9;43894;20.5
879;zundert;13;21821;59.6
301;zutphen;5;47942;10.4
1896;zwartewaterland;20;22690;88.1
642;zwijndrecht;9;44741;20.1
193;zwolle;24;128831;18.6
end
